AGREEMENT_RK,TARGET,AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FACT_ADDRESS_PROVINCE,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,CREDIT,WORK_TIME,PERSONAL_INCOME
59910150,0,49,1,2,1,1,0,0,1,1,8000.0,18.0,5000.0
59910230,0,32,1,3,3,1,0,0,1,1,21650.0,97.0,12000.0
59910525,0,52,1,4,0,1,0,0,2,1,33126.0,84.0,9000.0
59910803,0,39,1,1,1,1,0,0,1,1,8491.82,168.0,25000.0
59911781,0,30,0,0,0,1,0,0,2,1,21990.0,101.0,12000.0
59911784,0,29,0,0,0,1,0,0,2,1,30615.0,40.0,12000.0
59911832,0,35,0,1,1,1,0,0,2,2,10450.0,6.0,15000.0
59912034,0,41,1,0,0,1,0,0,2,1,15035.0,6.0,6000.0
59912560,0,53,0,2,0,1,0,0,1,1,32914.31,156.0,100000.0
59912659,0,43,1,0,0,1,0,0,1,1,4440.0,72.0,7000.0
59912692,0,54,1,2,0,1,0,0,1,1,5160.0,120.0,19000.0
59913108,1,26,0,0,0,1,0,0,2,1,11751.0,27.0,18000.0
59913134,1,62,0,3,0,0,1,0,1,1,11160.0,48.0,7000.0
59913205,0,45,1,3,1,1,0,0,1,1,5770.0,72.0,12000.0
59913395,0,38,1,0,1,1,0,0,2,1,14513.0,120.0,20000.0
59913542,1,41,1,0,0,1,0,0,1,1,79910.0,168.0,60000.0
59913603,0,65,1,2,0,0,1,0,1,1,4039.0,,10000.0
59913652,0,29,1,1,1,1,0,0,1,1,3400.0,8.0,5200.0
59913736,1,34,0,0,0,1,0,0,1,1,7290.0,13.0,35000.0
59913985,0,28,1,0,0,1,0,0,1,1,8918.0,60.0,15000.0
59914132,0,37,1,1,1,1,0,0,1,1,10342.0,192.0,10000.0
59914133,0,42,1,1,1,1,0,0,1,1,19857.0,76.0,10000.0
59914282,0,45,1,3,2,1,0,0,1,1,13000.0,120.0,14000.0
59914348,0,32,1,0,0,1,0,0,1,1,7300.0,108.0,10000.0
59914507,0,33,1,1,1,1,0,0,1,1,12646.0,24.0,8000.0
59914532,0,38,1,1,1,1,0,0,1,1,14619.0,18.0,13000.0
59914562,0,27,1,0,0,1,0,0,1,1,3909.0,60.0,12500.0
59914760,1,31,1,1,1,1,0,0,1,1,30198.0,15.0,12000.0
59914815,0,40,0,1,1,1,0,0,1,1,3390.0,2.0,20000.0
59914912,0,63,1,0,0,0,1,0,1,1,8000.0,,5000.0
59914934,0,40,1,3,2,1,0,0,1,1,3307.0,96.0,11000.0
59914938,0,27,0,1,1,1,0,0,1,1,3490.0,108.0,15000.0
59915134,0,49,1,2,0,1,0,0,1,1,9991.0,20.0,5000.0
59915164,0,29,0,0,0,1,0,0,1,1,10000.0,12.0,10000.0
59915192,0,61,1,0,0,1,0,0,1,1,8118.0,96.0,13000.0
59915193,0,43,1,2,2,1,0,0,1,1,26990.0,12.0,30000.0
59915275,0,38,0,0,0,1,0,0,2,2,4869.66,6.0,23000.0
59915302,0,38,0,4,4,1,0,0,1,1,8730.0,120.0,15000.0
59915312,0,49,0,2,0,1,0,0,1,1,19989.0,240.0,10000.0
59915340,0,44,1,0,0,1,0,0,1,1,5119.0,180.0,13000.0
59915354,0,61,1,2,0,0,1,0,1,1,13021.0,,5000.0
59915402,0,28,1,1,1,1,0,0,2,2,4550.0,3.0,8000.0
59915484,0,31,0,1,1,1,0,0,1,1,19240.0,96.0,20000.0
59915500,0,59,1,0,0,0,1,0,1,1,8880.0,,4000.0
59915564,0,54,1,2,0,1,0,0,2,1,26820.0,36.0,8000.0
59915634,0,48,1,2,0,1,0,0,1,1,13800.0,144.0,13000.0
59915800,0,24,0,0,0,1,0,0,1,1,45665.0,30.0,50000.0
59915970,0,48,1,0,0,1,0,0,1,1,10000.0,132.0,15000.0
59916060,0,43,1,1,1,1,0,1,2,1,18471.0,72.0,20000.0
59916079,0,23,0,1,1,1,0,0,1,1,7850.0,30.0,18000.0
59916196,0,54,1,2,0,1,0,0,1,1,23166.0,120.0,40000.0
59916537,0,37,0,1,1,1,0,0,1,1,7581.0,14.0,10000.0
59916782,0,47,1,0,0,1,0,0,1,1,34335.0,14.0,20000.0
59917047,0,52,1,1,1,0,1,0,2,2,3143.0,,5700.0
59917064,0,24,0,0,0,1,0,0,2,2,10925.0,36.0,15000.0
59917071,0,48,1,0,0,1,0,0,1,1,10570.0,324.0,11000.0
59917104,0,58,0,2,0,0,1,0,1,1,14755.0,,9000.0
59917205,0,34,1,0,0,1,0,0,1,1,6163.0,29.0,9000.0
59917790,0,31,1,0,0,1,0,0,2,1,13441.0,96.0,12800.0
59917807,0,31,0,1,1,1,0,0,1,1,16870.0,12.0,20000.0
59917814,1,35,1,1,1,1,0,0,1,1,16400.0,24.0,15000.0
59917902,0,54,1,2,0,0,1,0,1,1,5500.0,,10000.0
59918129,0,35,1,1,1,1,0,0,1,1,4938.0,72.0,15000.0
59918141,0,61,1,2,0,0,1,0,1,1,17990.0,,5500.0
59918142,0,52,0,0,1,1,0,0,1,1,7920.0,360.0,7000.0
59918152,1,34,0,2,2,1,0,0,1,1,3000.0,180.0,6000.0
59918243,0,44,0,3,3,1,0,0,1,1,11070.0,108.0,11000.0
59918315,0,63,1,2,0,0,1,0,1,1,3000.0,,4800.0
59918616,0,30,0,0,0,1,0,0,1,1,9500.0,48.0,30000.0
59918705,0,27,1,0,0,1,0,0,1,1,5690.0,36.0,5300.0
59918758,0,35,1,0,0,1,0,0,1,1,9907.2,4.0,50000.0
59919115,0,48,1,2,0,1,0,0,1,1,15598.0,120.0,11000.0
59919158,0,29,1,1,1,1,0,0,1,1,21050.0,96.0,11700.0
59919255,0,30,0,1,1,1,0,0,1,1,5431.2,60.0,8000.0
59919426,0,31,1,1,1,1,0,0,2,2,4250.0,24.0,5000.0
59919466,0,51,1,2,0,1,0,0,1,1,5400.0,60.0,7500.0
59919794,0,47,0,2,1,1,0,0,2,2,3750.0,252.0,18000.0
59919854,0,26,0,0,0,1,0,0,1,1,4490.0,24.0,8000.0
59920262,0,44,0,2,2,1,0,0,1,1,8330.0,120.0,20000.0
59920457,1,33,1,1,1,1,0,0,1,1,7795.0,12.0,10000.0
59920692,0,35,1,0,0,1,0,1,1,1,3307.0,28.0,9000.0
59920809,0,51,1,1,0,1,0,0,1,1,21380.0,300.0,11000.0
59920871,0,43,1,1,1,1,0,0,2,2,9990.0,12.0,15000.0
59920924,0,35,0,1,1,1,0,0,1,1,5570.0,4.0,15000.0
59921016,1,27,1,0,0,1,0,0,1,1,9997.0,12.0,10000.0
59921388,0,54,1,0,0,1,0,0,1,1,15190.0,36.0,15000.0
59921422,0,28,1,1,1,1,0,0,1,1,3299.0,12.0,8000.0
59921596,0,53,0,2,0,1,0,0,1,1,10394.0,72.0,25000.0
59921625,0,29,1,1,1,1,0,0,1,1,6843.0,12.0,11000.0
59921843,0,59,1,1,0,1,0,0,1,1,8990.0,48.0,8500.0
59922010,0,56,0,3,0,1,0,0,1,1,3610.0,24.0,4000.0
59922118,0,37,1,3,3,1,1,0,2,1,9137.0,192.0,15000.0
59922128,0,51,0,1,0,1,0,0,1,1,10693.0,196.0,8000.0
59923054,0,63,0,1,0,1,0,0,1,1,7199.0,24.0,10000.0
59923107,0,31,0,0,0,1,0,0,1,1,10000.0,94.0,18000.0
59923159,0,58,0,3,1,1,0,0,1,1,21984.55,108.0,15000.0
59923161,0,48,0,2,0,1,0,0,1,1,3140.0,25.0,12000.0
59923165,0,37,1,1,1,1,0,0,1,1,10953.0,190.0,7300.0
59923241,0,52,1,0,0,1,0,0,1,1,8442.0,348.0,25000.0
59923269,0,52,1,0,0,1,0,0,1,1,5650.0,96.0,8000.0
59923341,0,37,0,0,0,1,0,0,1,1,8991.0,120.0,12000.0
59923386,0,22,0,1,0,1,0,0,1,1,18900.0,10.0,8000.0
59923424,0,36,1,2,2,1,0,0,1,1,3906.0,205.0,10000.0
59923546,0,37,0,1,1,1,0,0,1,1,7452.4,62.0,14500.0
59923557,0,63,0,2,0,0,1,0,1,1,7319.0,,5000.0
59923612,0,26,0,0,0,1,0,0,2,1,20700.0,14.0,10000.0
59923663,1,57,1,0,0,0,1,0,1,1,3280.0,,3000.0
59923678,0,45,1,1,1,1,0,0,1,1,4947.0,12.0,5000.0
59923884,0,22,0,1,2,1,0,0,1,1,9621.0,19.0,12000.0
59924026,0,57,0,0,0,1,1,0,1,1,37752.0,48.0,30000.0
59924048,0,57,0,0,0,0,1,0,1,1,16720.0,,6000.0
59924146,0,39,0,2,2,1,0,0,1,1,4950.0,180.0,27000.0
59924239,0,37,1,2,2,1,0,0,1,1,11230.0,120.0,9000.0
59924607,0,41,0,0,0,1,0,1,1,1,16190.0,252.0,18000.0
59925055,0,34,0,2,2,1,0,0,2,2,10000.0,24.0,6000.0
59925110,0,44,0,1,0,1,0,0,1,1,7800.0,36.0,15000.0
59925185,0,38,0,1,1,1,0,0,1,1,3890.0,120.0,13500.0
59925195,0,40,1,1,1,1,0,0,1,1,5020.0,120.0,6500.0
59925200,0,40,0,2,2,1,0,0,1,1,9050.0,156.0,14000.0
59925263,0,27,1,1,1,1,0,0,1,1,27000.0,16.0,15000.0
59925320,0,29,0,1,1,1,0,0,1,1,18984.0,84.0,20000.0
59925344,0,28,1,1,1,1,0,0,1,1,4250.0,12.0,10000.0
59925421,0,41,1,2,1,1,0,0,1,1,2881.0,38.0,8600.0
59925539,0,39,1,1,1,1,0,0,1,1,34804.0,72.0,35000.0
59925799,0,43,0,0,0,1,0,1,1,1,6898.0,144.0,15000.0
59925843,0,57,1,0,0,0,1,0,2,2,5970.0,,8000.0
59925872,0,50,1,0,0,1,0,0,1,1,14611.0,216.0,15000.0
59925882,0,38,0,4,4,1,0,0,3,2,19590.0,36.0,38000.0
59925955,0,51,1,0,0,1,0,0,1,1,3590.0,72.0,25000.0
59926091,1,54,1,1,1,1,0,0,1,1,22072.0,15.0,11000.0
59926221,0,35,1,1,1,1,0,0,1,1,8132.0,70.0,15000.0
59926263,0,27,1,2,2,1,0,0,1,1,27356.0,10.0,10000.0
59926295,0,48,1,2,0,1,0,0,1,1,3500.0,24.0,6000.0
59926408,0,50,1,0,0,1,0,0,1,1,16680.0,48.0,12000.0
